year,state,county,share_transit_commuter,share_transit_commuter_quality,share_transportation_cost,share_transportation_cost_quality
2015,01,001,0,1,0.32,1
2015,01,003,0,1,0.31,1
2015,01,005,0.01,1,0.42,1
2015,01,007,0,1,0.32,1
2015,01,009,0,1,0.32,1
2015,01,011,0.01,2,0.48,2
2015,01,013,0.01,1,0.45,1
2015,01,015,0,1,0.34,1
2015,01,017,0,1,0.42,1
2015,01,019,0,1,0.4,1
2015,01,021,0,1,0.32,1
2015,01,023,0.01,1,0.45,1
2015,01,025,0.01,1,0.45,1
2015,01,027,0.01,1,0.42,1
2015,01,029,0,1,0.4,1
2015,01,031,0,1,0.32,1
2015,01,033,0,1,0.33,1
2015,01,035,0.01,1,0.54,1
2015,01,037,0.01,1,0.43,1
2015,01,039,0.01,1,0.4,1
2015,01,041,0.01,1,0.42,1
2015,01,043,0,1,0.38,1
2015,01,045,0.01,1,0.32,1
2015,01,047,0.01,1,0.46,1
2015,01,049,0,1,0.4,1
2015,01,051,0,1,0.32,1
2015,01,053,0.01,1,0.43,1
2015,01,055,0.01,1,0.36,1
2015,01,057,0.01,1,0.42,1
2015,01,059,0.01,1,0.41,1
2015,01,061,0.01,1,0.37,1
2015,01,063,0.02,1,0.63,1
2015,01,065,0.01,1,0.36,1
2015,01,067,0,1,0.39,1
2015,01,069,0,1,0.34,1
2015,01,071,0,1,0.39,1
2015,01,073,0.01,1,0.27,1
2015,01,075,0.01,1,0.41,1
2015,01,077,0,1,0.33,1
2015,01,079,0,1,0.35,1
2015,01,081,0,1,0.32,1
2015,01,083,0,1,0.29,1
2015,01,085,0.01,1,0.34,1
2015,01,087,0.01,1,0.44,1
2015,01,089,0,1,0.26,1
2015,01,091,0.01,1,0.44,1
2015,01,093,0.01,1,0.44,1
2015,01,095,0,1,0.38,1
2015,01,097,0.01,1,0.31,1
2015,01,099,0.02,1,0.51,1
2015,01,101,0.01,1,0.28,1
2015,01,103,0,1,0.32,1
2015,01,105,0.02,1,0.54,1
2015,01,107,0.01,1,0.37,1
2015,01,109,0.01,1,0.42,1
2015,01,111,0,1,0.4,1
2015,01,113,0.01,1,0.33,1
2015,01,115,0,1,0.31,1
2015,01,117,0,1,0.29,1
2015,01,119,0.02,1,0.67,1
2015,01,121,0,1,0.4,1
2015,01,123,0,1,0.37,1
2015,01,125,0,1,0.32,1
2015,01,127,0,1,0.31,1
2015,01,129,0.01,1,0.38,1
2015,01,131,0.02,1,0.55,1
2015,01,133,0.01,1,0.44,1
2015,02,013,0.18,1,0.15,1
2015,02,016,0.24,1,0.07,1
2015,02,020,0.03,1,0.21,1
2015,02,050,0.12,1,0.25,1
2015,02,060,0.05,1,0.24,1
2015,02,068,0.11,1,0.2,1
2015,02,070,0.13,1,0.23,1
2015,02,090,0.03,1,0.22,1
2015,02,100,0.04,2,0.28,2
2015,02,105,0.1,1,0.29,1
2015,02,110,0.04,1,0.19,1
2015,02,122,0.04,1,0.25,1
2015,02,130,0.03,1,0.23,1
2015,02,150,0.03,1,0.23,1
2015,02,158,0.16,1,0.28,1
2015,02,164,0.13,2,0.28,2
2015,02,170,0.03,1,0.24,1
2015,02,180,0.13,1,0.22,1
2015,02,185,0.11,1,0.2,1
2015,02,188,0.13,1,0.19,1
2015,02,195,0.02,1,0.23,1
2015,02,198,0.08,1,0.29,1
2015,02,220,0.02,1,0.22,1
2015,02,230,0.07,1,0.24,1
2015,02,240,0.1,1,0.24,1
2015,02,261,0.08,1,0.22,1
2015,02,275,0.05,1,0.27,1
2015,02,282,0.12,2,0.2,2
2015,02,290,0.15,1,0.32,1
2015,04,001,0.03,1,0.51,1
2015,04,003,0.02,1,0.31,1
2015,04,005,0.02,1,0.32,1
2015,04,007,0.01,1,0.38,1
2015,04,009,0.01,1,0.34,1
2015,04,011,0.02,1,0.31,1
2015,04,012,0.02,1,0.4,1
2015,04,013,0.04,1,0.26,1
2015,04,015,0.01,1,0.35,1
2015,04,017,0.02,1,0.43,1
2015,04,019,0.04,1,0.29,1
2015,04,021,0,1,0.3,1
2015,04,023,0.01,1,0.38,1
2015,04,025,0.01,1,0.32,1
2015,04,027,0.01,1,0.35,1
2015,05,001,0.01,1,0.39,1
2015,05,003,0.01,1,0.43,1
2015,05,005,0.01,1,0.38,1
2015,05,007,0,1,0.3,1
2015,05,009,0.01,1,0.38,1
2015,05,011,0.01,1,0.43,1
2015,05,013,0.01,2,0.48,2
2015,05,015,0,1,0.41,1
2015,05,017,0.02,1,0.47,1
2015,05,019,0.01,1,0.4,1
2015,05,021,0.01,1,0.45,1
2015,05,023,0.01,1,0.35,1
2015,05,025,0.01,1,0.42,1
2015,05,027,0.01,1,0.39,1
2015,05,029,0,1,0.4,1
2015,05,031,0.01,1,0.34,1
2015,05,033,0,1,0.39,1
2015,05,035,0.01,1,0.3,1
2015,05,037,0.01,1,0.38,1
2015,05,039,0.01,1,0.42,1
2015,05,041,0.02,1,0.5,1
2015,05,043,0.01,1,0.43,1
2015,05,045,0,1,0.3,1
2015,05,047,0.01,1,0.38,1
2015,05,049,0.01,1,0.39,1
2015,05,051,0.01,1,0.35,1
2015,05,053,0,1,0.33,1
2015,05,055,0,1,0.35,1
2015,05,057,0.01,1,0.46,1
2015,05,059,0.01,1,0.37,1
2015,05,061,0.01,1,0.43,1
2015,05,063,0.01,1,0.41,1
2015,05,065,0.01,1,0.43,1
2015,05,067,0.01,1,0.43,1
2015,05,069,0.01,1,0.35,1
2015,05,071,0.01,1,0.43,1
2015,05,073,0.02,1,0.46,1
2015,05,075,0.01,1,0.44,1
2015,05,077,0.02,1,0.47,1
2015,05,079,0.01,1,0.4,1
2015,05,081,0.01,1,0.37,1
2015,05,083,0.01,1,0.42,1
2015,05,085,0,1,0.31,1
2015,05,087,0.01,1,0.34,1
2015,05,089,0.01,1,0.43,1
2015,05,091,0.02,1,0.33,1
2015,05,093,0.01,1,0.4,1
2015,05,095,0.02,1,0.5,1
2015,05,097,0.01,1,0.45,1
2015,05,099,0.01,2,0.47,2
2015,05,101,0.01,1,0.42,1
2015,05,103,0.01,1,0.44,1
2015,05,105,0,1,0.33,1
2015,05,107,0.02,1,0.48,1
2015,05,109,0.01,1,0.45,1
2015,05,111,0.01,1,0.36,1
2015,05,113,0.01,1,0.44,1
2015,05,115,0,1,0.38,1
2015,05,117,0.01,1,0.4,1
2015,05,119,0.01,1,0.27,1
2015,05,121,0.01,1,0.43,1
2015,05,123,0.01,1,0.41,1
2015,05,125,0,1,0.3,1
2015,05,127,0.01,1,0.42,1
2015,05,129,0.01,1,0.46,1
2015,05,131,0.01,1,0.35,1
2015,05,133,0.01,1,0.41,1
2015,05,135,0.01,1,0.45,1
2015,05,137,0.01,1,0.49,1
2015,05,139,0,1,0.37,1
2015,05,141,0.01,1,0.44,1
2015,05,143,0.01,1,0.28,1
2015,05,145,0,1,0.35,1
2015,05,147,0.02,1,0.49,1
2015,05,149,0.01,1,0.4,1
2015,06,001,0.11,1,0.19,1
2015,06,003,0.01,2,0.38,2
2015,06,005,0,1,0.32,1
2015,06,007,0.02,1,0.33,1
2015,06,009,0,1,0.34,1
2015,06,011,0,1,0.35,1
2015,06,013,0.04,1,0.21,1
2015,06,015,0.03,1,0.35,1
2015,06,017,0.01,1,0.3,1
2015,06,019,0.02,1,0.34,1
2015,06,021,0,1,0.41,1
2015,06,023,0.02,1,0.35,1
2015,06,025,0,1,0.39,1
2015,06,027,0.01,1,0.35,1
2015,06,029,0.01,1,0.33,1
2015,06,031,0.01,1,0.34,1
2015,06,033,0.02,1,0.4,1
2015,06,035,0.03,1,0.31,1
2015,06,037,0.13,1,0.23,1
2015,06,039,0.01,1,0.37,1
2015,06,041,0.04,1,0.2,1
2015,06,043,0.01,1,0.36,1
2015,06,045,0.02,1,0.36,1
2015,06,047,0.01,1,0.38,1
2015,06,049,0.02,1,0.42,1
2015,06,051,0.02,2,0.32,2
2015,06,053,0.02,1,0.29,1
2015,06,055,0.01,1,0.24,1
2015,06,057,0.01,1,0.3,1
2015,06,059,0.04,1,0.25,1
2015,06,061,0.01,1,0.28,1
2015,06,063,0.02,1,0.35,1
2015,06,065,0.02,1,0.31,1
2015,06,067,0.05,1,0.24,1
2015,06,069,0.01,1,0.21,1
2015,06,071,0.02,1,0.3,1
2015,06,073,0.07,1,0.24,1
2015,06,075,0.36,1,0.13,1
2015,06,077,0.02,1,0.31,1
2015,06,079,0.01,1,0.27,1
2015,06,081,0.07,1,0.2,1
2015,06,083,0.02,1,0.26,1
2015,06,085,0.05,1,0.18,1
2015,06,087,0.03,1,0.25,1
2015,06,089,0.02,1,0.34,1
2015,06,091,0.01,2,0.42,2
2015,06,093,0.03,1,0.41,1
2015,06,095,0.03,1,0.25,1
2015,06,097,0.01,1,0.26,1
2015,06,099,0.02,1,0.32,1
2015,06,101,0.01,1,0.32,1
2015,06,103,0.02,1,0.39,1
2015,06,105,0.03,1,0.46,1
2015,06,107,0.02,1,0.39,1
2015,06,109,0.01,1,0.32,1
2015,06,111,0.01,1,0.24,1
2015,06,113,0.04,1,0.25,1
2015,06,115,0.02,1,0.32,1
2015,08,001,0.04,1,0.22,1
2015,08,003,0.01,2,0.41,2
2015,08,005,0.07,1,0.21,1
2015,08,007,0.02,1,0.32,1
2015,08,009,0.03,1,0.43,1
2015,08,011,0.02,1,0.37,1
2015,08,013,0.03,1,0.2,1
2015,08,014,0.02,1,0.23,1
2015,08,015,0,1,0.31,1
2015,08,017,0.02,1,0.36,1
2015,08,019,0,1,0.27,1
2015,08,021,0.02,1,0.44,1
2015,08,023,0.02,2,0.5,2
2015,08,025,0.01,1,0.54,1
2015,08,027,0.02,2,0.44,2
2015,08,029,0.01,1,0.35,1
2015,08,031,0.11,1,0.19,1
2015,08,033,0.02,1,0.52,1
2015,08,035,0.02,1,0.24,1
2015,08,037,0.03,1,0.24,1
2015,08,039,0,1,0.29,1
2015,08,041,0.03,1,0.24,1
2015,08,043,0.01,1,0.33,1
2015,08,045,0.01,1,0.27,1
2015,08,047,0,1,0.28,1
2015,08,049,0,1,0.28,1
2015,08,051,0.01,1,0.31,1
2015,08,053,0.02,1,0.33,1
2015,08,055,0.02,1,0.46,1
2015,08,057,0.01,1,0.35,1
2015,08,059,0.04,1,0.22,1
2015,08,061,0.02,1,0.42,1
2015,08,063,0.01,1,0.37,1
2015,08,065,0.01,1,0.33,1
2015,08,067,0.01,1,0.27,1
2015,08,069,0.01,1,0.25,1
2015,08,071,0.03,1,0.32,1
2015,08,073,0.02,1,0.38,1
2015,08,075,0.01,1,0.36,1
2015,08,077,0.01,1,0.29,1
2015,08,079,0.02,2,0.36,2
2015,08,081,0.01,1,0.31,1
2015,08,083,0.01,1,0.34,1
2015,08,085,0.01,1,0.33,1
2015,08,087,0,1,0.33,1
2015,08,089,0.02,1,0.42,1
2015,08,091,0.02,1,0.29,1
2015,08,093,0,1,0.29,1
2015,08,095,0.02,1,0.37,1
2015,08,097,0.01,1,0.27,1
2015,08,099,0.01,1,0.36,1
2015,08,101,0.02,1,0.32,1
2015,08,103,0.01,1,0.26,1
2015,08,105,0.01,1,0.38,1
2015,08,107,0.01,1,0.25,1
2015,08,109,0.02,1,0.47,1
2015,08,111,0.02,1,0.46,1
2015,08,113,0.01,1,0.3,1
2015,08,115,0.02,1,0.36,1
2015,08,117,0.02,1,0.25,1
2015,08,119,0,1,0.3,1
2015,08,121,0.01,1,0.36,1
2015,08,123,0.01,1,0.27,1
2015,08,125,0.01,1,0.37,1
2015,09,001,0.05,1,0.18,1
2015,09,003,0.04,1,0.2,1
2015,09,005,0,1,0.23,1
2015,09,007,0.01,1,0.22,1
2015,09,009,0.04,1,0.23,1
2015,09,011,0.01,1,0.23,1
2015,09,013,0.01,1,0.23,1
2015,09,015,0,1,0.25,1
2015,10,001,0.01,1,0.28,1
2015,10,003,0.03,1,0.22,1
2015,10,005,0.01,1,0.29,1
2015,11,001,0.3,1,0.1,1
2015,12,001,0.04,1,0.3,1
2015,12,003,0.01,1,0.31,1
2015,12,005,0.01,1,0.29,1
2015,12,007,0,1,0.36,1
2015,12,009,0.01,1,0.27,1
2015,12,011,0.06,1,0.26,1
2015,12,013,0.01,1,0.43,1
2015,12,015,0.01,1,0.29,1
2015,12,017,0.01,1,0.34,1
2015,12,019,0,1,0.29,1
2015,12,021,0.01,1,0.25,1
2015,12,023,0,1,0.34,1
2015,12,027,0,1,0.41,1
2015,12,029,0.01,1,0.38,1
2015,12,031,0.03,1,0.26,1
2015,12,033,0.02,1,0.27,1
2015,12,035,0,1,0.34,1
2015,12,037,0.01,1,0.35,1
2015,12,039,0,1,0.35,1
2015,12,041,0.01,1,0.36,1
2015,12,043,0.01,1,0.42,1
2015,12,045,0.01,1,0.33,1
2015,12,047,0.01,1,0.39,1
2015,12,049,0,1,0.44,1
2015,12,051,0,1,0.41,1
2015,12,053,0.01,1,0.3,1
2015,12,055,0,1,0.37,1
2015,12,057,0.03,1,0.27,1
2015,12,059,0.01,1,0.43,1
2015,12,061,0,1,0.29,1
2015,12,063,0.01,1,0.4,1
2015,12,065,0.01,1,0.35,1
2015,12,067,0.01,2,0.43,2
2015,12,069,0,1,0.31,1
2015,12,071,0.02,1,0.28,1
2015,12,073,0.02,1,0.28,1
2015,12,075,0.01,1,0.4,1
2015,12,077,0.01,1,0.39,1
2015,12,079,0.01,1,0.45,1
2015,12,081,0.02,1,0.26,1
2015,12,083,0.01,1,0.34,1
2015,12,085,0.01,1,0.29,1
2015,12,086,0.1,1,0.24,1
2015,12,087,0.02,1,0.25,1
2015,12,089,0,1,0.31,1
2015,12,091,0.01,1,0.27,1
2015,12,093,0,1,0.41,1
2015,12,095,0.04,1,0.27,1
2015,12,097,0.02,1,0.29,1
2015,12,099,0.03,1,0.28,1
2015,12,101,0.02,1,0.29,1
2015,12,103,0.04,1,0.26,1
2015,12,105,0.01,1,0.32,1
2015,12,107,0.01,1,0.43,1
2015,12,109,0.01,1,0.29,1
2015,12,111,0.01,1,0.29,1
2015,12,113,0,1,0.3,1
2015,12,115,0.02,1,0.26,1
2015,12,117,0.02,1,0.28,1
2015,12,119,0.01,1,0.26,1
2015,12,121,0.01,1,0.39,1
2015,12,123,0.01,1,0.39,1
2015,12,125,0.01,1,0.35,1
2015,12,127,0.02,1,0.31,1
2015,12,129,0.01,1,0.34,1
2015,12,131,0.01,1,0.3,1
2015,12,133,0.01,1,0.39,1
2015,13,001,0.01,1,0.4,1
2015,13,003,0.01,1,0.5,1
2015,13,005,0.01,1,0.41,1
2015,13,007,0.01,2,0.43,2
